"Disease.name.and.MIM.number"	"SYMBOL"	"ENTREZID"	"MIM_gene"
"Ornithine carbamoyltransferase deficiency (MIM 311250)"	"OTC"	"5009"	"MIM 300461"
"Paragangliomas 1 (MIM 168000,MIM 171300)"	"SDHD"	"6392"	"MIM 602690"
"Paragangliomas 2 (MIM 601650)"	"SDHAF2"	"54949"	"MIM 613019"
"Paragangliomas 3 (MIM 605373)"	"SDHC"	"6391"	"MIM 602413"
"Paragangliomas 4 (MIM 115310),MIM 171300)"	"SDHB"	"6390"	"MIM 185470"
"Peutz-Jeghers syndrome (MIM 175200)"	"STK11"	"6794"	"MIM 602216"
"Pompe disease (MIM 232300)"	"GAA"	"2548"	"MIM 606800"
"PTEN hamartoma tumor syndrome (MIM 158350)"	"PTEN"	"5728"	"MIM 601728"
"Retinoblastoma (MIM 180200)"	"RB1"	"5925"	"MIM 614041"
"RPE65-related retinopathy (MIM 204100,MIM 613794)"	"RPE65"	"6121"	"MIM 180069"
"Tuberous sclerosis 1 (MIM 191100)"	"TSC1"	"7248"	"MIM 605284"
"Tuberous sclerosis 2 (MIM 613254)"	"TSC2"	"7249"	"MIM 191092"
"Von Hippel-Lindau syndrome (MIM 193300)"	"VHL"	"7428"	"MIM 608537"
"Wilms' tumor (MIM 194070)"	"WT1"	"7490"	"MIM 607102"
"Wilson disease (MIM 277900)"	"ATP7B"	"540"	"MIM 606882"
